Setting;Value type;Default value;Location;Comment;Min PHP version;Max PHP version;Module;Min module version;Max module version
xdebug.trace_format;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.trace_options;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.trace_output_dir;VALUE_TYPE_STRING;/tmp;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.trace_output_name;VALUE_TYPE_STRING;trace.%c;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.var_display_max_children;VALUE_TYPE_INTEGER;128;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.var_display_max_data;VALUE_TYPE_INTEGER;512;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xdebug.var_display_max_depth;VALUE_TYPE_INTEGER;3;PHP_INI_ALL;"Available since Xdebug 2.0.0.";;;XDEBUG;2.0.0;
xmlrpc_errors;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since PHP 4.1.0.";4.1.0;;;;
xmlrpc_error_number;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.1.0.";4.1.0;;;;
xmms.path;VALUE_TYPE_STRING;/usr/bin/xmms;PHP_INI_ALL;"";;;;;
xmms.session;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
xsl.security_prefs;VALUE_TYPE_INTEGER;44;PHP_INI_ALL;"Available since PHP 5.5.0.";5.5.0;;;;
y2k_compliance;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Removed in PHP 5.4.0.";;5.4.0;;;
yami.response.timeout;VALUE_TYPE_INTEGER;5;PHP_INI_ALL;"Available since yami 1.0.1.";;;YAMI;1.0.1;
yaz.keepalive;VALUE_TYPE_INTEGER;120;PHP_INI_ALL;"";;;;;
yaz.log_mask;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"Available since yaz 1.0.3.";;;YAZ;1.0.3;
zend.assertions;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 7.0.0.";7.0.0;;;;
zend.detect_unicode;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 5.4.0.";5.4.0;;;;
zend.enable_gc;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 5.3.0.";5.3.0;;;;
zend.multibyte;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"Available since PHP 5.4.0.";5.4.0;;;;
zend.script_encoding;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"Available since PHP 5.4.0";5.4.0;;;;
zend.signal_check;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since PHP 5.4.0";5.4.0;;;;
zend.ze1_compatibility_mode;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 5.0.0. Removed in PHP 5.3.0.";5.0.0;5.3.0;;;
zend_extension;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"only";;;;;
zend_extension_debug;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"only";;;;;
zend_extension_debug_ts;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"only";;;;;
zend_extension_ts;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"only";;;;;
zlib.output_compression;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.0.5.";4.0.5;;;;
zlib.output_compression_level;VALUE_TYPE_INTEGER;-1;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
zlib.output_handler;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
