Setting;Value type;Default value;Location;Comment;Min PHP version;Max PHP version;Module;Min module version;Max module version
pfpro.proxyport;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 4.0.2. Removed in PHP 5.1.0.";4.0.2;5.1.0;;;
pgsql.allow_persistent;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"";;;;;
pgsql.auto_reset_persistent;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since PHP 4.2.0.";4.2.0;;;;
pgsql.ignore_notice;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
pgsql.log_notice;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
pgsql.max_links;VALUE_TYPE_INTEGER;-1;PHP_INI_SYSTEM;"";;;;;
pgsql.max_persistent;VALUE_TYPE_INTEGER;-1;PHP_INI_SYSTEM;"";;;;;
phar.cache_list;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"Available since PHP 5.4.0.";5.4.0;;;;
phar.extract_list;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since phar 1.1.0.";;;PHAR;1.1.0;
phar.readonly;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
phar.require_hash;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
post_max_size;VALUE_TYPE_QUANTITY;8M;PHP_INI_PERDIR;"PHP_INI_SYSTEM in PHP <= 4.2.3. Available since PHP 4.0.3.";4.0.3;;;;
precision;VALUE_TYPE_INTEGER;14;PHP_INI_ALL;"";;;;;
python.append_path;VALUE_TYPE_STRING;;PHP_INI_ALL;"";;;;;
python.prepend_path;VALUE_TYPE_STRING;.;PHP_INI_ALL;"";;;;;
realpath_cache_size;VALUE_TYPE_QUANTITY;16K;PHP_INI_SYSTEM;"Available since PHP 5.1.0.";5.1.0;;;;
realpath_cache_ttl;VALUE_TYPE_INTEGER;120;PHP_INI_SYSTEM;"Available since PHP 5.1.0.";5.1.0;;;;
register_argc_argv;VALUE_TYPE_INTEGER;1;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 4.2.3.";;;;;
register_globals;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 4.2.3. Deprecated in PHP 5.3.0. Removed in PHP 5.4.0.";;5.4.0;;;
register_long_arrays;VALUE_TYPE_INTEGER;1;PHP_INI_PERDIR;"Available since PHP 5.0.0. Deprecated in PHP 5.3.0. Removed in PHP 5.4.0.";5.0.0;5.4.0;;;
report_memleaks;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
report_zend_debug;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
request_order;VALUE_TYPE_STRING;;PHP_INI_PERDIR;"Added in PHP 5.3.0";5.3.0;;;;
runkit.internal_override;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
runkit.superglobal;VALUE_TYPE_STRING;;PHP_INI_PERDIR;"";;;;;
safe_mode;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Removed in PHP 5.4.0.";;5.4.0;;;
safe_mode_allowed_env_vars;VALUE_TYPE_STRING;PHP_;PHP_INI_SYSTEM;"Removed in PHP 5.4.0.";;5.4.0;;;
safe_mode_exec_dir;VALUE_TYPE_STRING;;PHP_INI_SYSTEM;"Removed in PHP 5.4.0.";;5.4.0;;;
safe_mode_gid;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since PHP 4.1.0. Removed in PHP 5.4.0.";4.1.0;5.4.0;;;
safe_mode_include_dir;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"Available since PHP 4.1.0. Removed in PHP 5.4.0.";4.1.0;5.4.0;;;
safe_mode_protected_env_vars;VALUE_TYPE_STRING;LD_LIBRARY_PATH;PHP_INI_SYSTEM;"Removed in PHP 5.4.0.";;5.4.0;;;
sendmail_from;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
sendmail_path;VALUE_TYPE_STRING;/usr/sbin/sendmail -t -i;PHP_INI_SYSTEM;"";;;;;
serialize_precision;VALUE_TYPE_INTEGER;-1;PHP_INI_ALL;"Available since PHP 4.3.2. Until PHP 5.3.5, the default value was 100. Until PHP 7.1.0, the default value was 17.";4.3.2;;;;
session.auto_start;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 5.4.19 and in PHP <= 5.5.1.";;;;;
session.bug_compat_42;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 4.3.0. Removed in PHP 5.4.0.";4.3.0;5.4.0;;;
session.bug_compat_warn;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 4.3.0. Removed in PHP 5.4.0.";4.3.0;5.4.0;;;
session.cache_expire;VALUE_TYPE_INTEGER;180;PHP_INI_ALL;"";;;;;
session.cache_limiter;VALUE_TYPE_STRING;nocache;PHP_INI_ALL;"";;;;;
session.cookie_domain;VALUE_TYPE_STRING;;PHP_INI_ALL;"";;;;;
session.cookie_httponly;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 5.2.0.";5.2.0;;;;
session.cookie_lifetime;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
session.cookie_path;VALUE_TYPE_STRING;/;PHP_INI_ALL;"";;;;;
session.cookie_secure;VALUE_TYPE_STRING;;PHP_INI_ALL;"Available since PHP 4.0.4.";4.0.4;;;;
session.entropy_file;VALUE_TYPE_STRING;;PHP_INI_ALL;"";;;;;
session.entropy_length;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
session.gc_divisor;VALUE_TYPE_INTEGER;100;PHP_INI_ALL;"Available since PHP 4.3.2.";4.3.2;;;;
session.gc_maxlifetime;VALUE_TYPE_INTEGER;1440;PHP_INI_ALL;"";;;;;
session.gc_probability;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
session.hash_bits_per_character;VALUE_TYPE_INTEGER;4;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
session.hash_function;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
session.lazy_write;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 7.0.0.";7.0.0;;;;
session.name;VALUE_TYPE_STRING;PHPSESSID;PHP_INI_ALL;"";;;;;
session.referer_check;VALUE_TYPE_STRING;;PHP_INI_ALL;"";;;;;
session.save_handler;VALUE_TYPE_STRING;files;PHP_INI_ALL;"";;;;;
session.save_path;VALUE_TYPE_STRING;;PHP_INI_ALL;"";;;;;
session.serialize_handler;VALUE_TYPE_STRING;php;PHP_INI_ALL;"";;;;;
session.upload_progress.cleanup;VALUE_TYPE_INTEGER;1;PHP_INI_PERDIR;"Available since PHP 5.4.0.";5.4.0;;;;
session.upload_progress.enabled;VALUE_TYPE_INTEGER;1;PHP_INI_PERDIR;"Available since PHP 5.4.0.";5.4.0;;;;
session.upload_progress.freq;VALUE_TYPE_PERCENTAGE;1%;PHP_INI_PERDIR;"Available since PHP 5.4.0.";5.4.0;;;;
session.upload_progress.min_freq;VALUE_TYPE_INTEGER;1;PHP_INI_PERDIR;"Available since PHP 5.4.0.";5.4.0;;;;
session.upload_progress.name;VALUE_TYPE_STRING;PHP_SESSION_UPLOAD_PROGRESS;PHP_INI_PERDIR;"Available since PHP 5.4.0.";5.4.0;;;;
session.upload_progress.prefix;VALUE_TYPE_STRING;upload_progress_;PHP_INI_PERDIR;"Available since PHP 5.4.0.";5.4.0;;;;
session.use_strict_mode;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 5.5.2.";5.5.2;;;;
session.use_cookies;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
session.use_only_cookies;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
session.use_trans_sid;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"PHP_INI_ALL in PHP <= 4.2.3. PHP_INI_PERDIR in PHP < 5. Available since PHP 4.0.3.";4.0.3;;;;
session_pgsql.create_table;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"";;;;;
session_pgsql.db;VALUE_TYPE_STRING;host=localhost dbname=php_session user=nobody;PHP_INI_SYSTEM;"";;;;;
session_pgsql.disable;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
